17:33:26.168706 START Mgen Version 5.02
17:33:26.179692 LISTEN proto>UDP port>5001
17:34:26.185649 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:34:26.186290 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:34:26.186686 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:34:26.187052 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:34:26.187449 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:34:26.187815 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:34:26.188182 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:34:26.188578 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:34:26.188945 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:34:26.189341 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:34:26.189707 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:34:26.190074 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:34:26.190470 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:34:26.190837 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:34:26.191233 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:34:26.191600 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:34:26.191996 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:34:26.192362 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:34:26.192759 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:34:26.193156 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:34:26.193827 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:34:26.194224 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:34:26.194621 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:34:26.194987 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:34:26.195384 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:34:26.195750 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:34:26.196147 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:34:26.196513 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:34:26.196910 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:34:26.197276 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:34:26.197672 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:34:26.198039 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:34:26.198435 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
17:34:26.198832 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
17:34:26.199229 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:34:26.199595 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
17:34:26.199992 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
17:34:26.200388 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
17:34:26.200785 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
17:38:26.187351 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:38:26.187442 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:38:26.187656 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:38:26.188236 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:38:26.188327 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:38:26.188907 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:38:26.189487 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:38:26.189579 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:38:26.190128 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:38:26.190708 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:38:26.190769 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:38:26.191318 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:38:26.191898 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:38:26.191959 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:38:26.192508 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:38:26.193088 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:38:26.193149 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:38:26.196964 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:38:26.197025 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:38:26.197086 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:38:26.197147 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:38:26.197208 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:38:26.197238 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:38:26.197299 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:38:26.197360 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:38:26.197544 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:38:26.197635 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:38:26.197696 OFF flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:38:26.198276 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:38:26.199069 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:38:26.199130 OFF flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:38:26.199710 OFF flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:38:26.199802 OFF flow>35 srcPort>5001 dst>10.1.1.35/5001 
17:38:26.200382 OFF flow>36 srcPort>5001 dst>10.1.1.36/5001 
17:38:26.200962 OFF flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:38:26.201053 OFF flow>38 srcPort>5001 dst>10.1.1.38/5001 
17:38:26.201602 OFF flow>39 srcPort>5001 dst>10.1.1.39/5001 
17:38:26.202182 OFF flow>37 srcPort>5001 dst>10.1.1.37/5001 
17:38:26.202274 OFF flow>40 srcPort>5001 dst>10.1.1.40/5001 
17:39:00.780054 STOP
