16:47:34.827738 START Mgen Version 5.02
16:47:34.833079 LISTEN proto>UDP port>5001
16:48:34.839972 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:48:34.840582 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:48:34.840979 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:48:34.841376 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:48:34.841742 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:48:34.842108 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:48:34.842505 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:48:34.842902 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:48:34.843268 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:48:34.843665 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:48:34.844031 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:48:34.844428 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:48:34.844794 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:48:34.845191 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:48:34.845557 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:48:34.845953 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:48:34.846320 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:48:34.846716 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
16:48:34.847083 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:48:34.847479 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:48:34.847846 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:48:34.848242 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:48:34.848639 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:48:34.849036 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:48:34.849432 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:48:34.855200 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
16:48:34.855353 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
16:48:34.855475 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:48:34.855597 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
16:48:34.855749 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
16:48:34.855872 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
16:48:34.855994 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
16:48:34.856146 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
16:48:34.856268 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:48:34.856390 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
16:48:34.857855 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
16:48:34.858008 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
16:48:34.858160 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
16:48:34.858282 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
16:52:20.621511 STOP
