16:47:29.568699 START Mgen Version 5.02
16:47:29.573857 LISTEN proto>UDP port>5001
16:48:29.580761 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:48:29.580974 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:48:29.581127 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:48:29.581249 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:48:29.581371 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:48:29.581493 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:48:29.581646 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:48:29.581768 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:48:29.581890 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:48:29.582042 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:48:29.582165 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:48:29.582287 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:48:29.582439 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:48:29.582561 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:48:29.582714 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:48:29.582836 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
16:48:29.582958 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:48:29.583080 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:48:29.583233 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:48:29.583355 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:48:29.583477 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:48:29.583629 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:48:29.583751 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
16:48:29.583873 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
16:48:29.584026 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:48:29.584148 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:48:29.584270 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:48:29.584423 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
16:48:29.584545 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
16:48:29.584667 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
16:48:29.584820 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:48:29.584942 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
16:48:29.585064 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
16:48:29.585216 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:48:29.585430 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
16:48:29.585582 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
16:48:29.585705 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
16:48:29.585827 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
16:48:29.585979 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
16:52:20.665196 STOP
