17:15:56.240041 START Mgen Version 5.02
17:15:56.251057 LISTEN proto>UDP port>5001
17:16:56.253877 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:16:56.254518 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:16:56.254914 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:16:56.255281 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:16:56.255647 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:16:56.256043 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:16:56.256440 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:16:56.256837 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:16:56.257234 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:16:56.257600 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:16:56.257966 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:16:56.258363 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:16:56.258759 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:16:56.259126 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:16:56.259492 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:16:56.259889 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:16:56.260285 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:16:56.260652 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:16:56.261018 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:16:56.261414 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:16:56.261781 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:16:56.262177 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:16:56.263856 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:16:56.264436 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:16:56.264832 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:16:56.265229 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:16:56.265626 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:16:56.265992 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:16:56.266389 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:20:56.255541 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:20:56.255633 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:20:56.256213 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:20:56.256274 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:20:56.256854 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:20:56.257769 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:20:56.257830 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:20:56.257891 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:20:56.258624 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:20:56.258685 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:20:56.259234 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:20:56.259814 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:20:56.259875 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:20:56.260424 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:20:56.261279 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:20:56.261370 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:20:56.261462 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:20:56.262011 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:20:56.262103 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:20:56.263812 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:20:56.263873 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:20:56.264697 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:20:56.265276 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:20:56.265856 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:20:56.266436 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:20:56.266497 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:20:56.267046 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:20:56.267626 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:20:56.267687 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:21:30.569330 STOP
