18:02:36.182706 START Mgen Version 5.02
18:02:36.195707 LISTEN proto>UDP port>5001
18:03:36.202153 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:03:36.202763 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:03:36.203130 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:03:36.203526 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:03:36.203892 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:03:36.204289 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:03:36.204655 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:03:36.205052 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:03:36.205418 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:03:36.205785 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:03:36.206181 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:03:36.206547 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:03:36.206944 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:03:36.207310 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:03:36.207707 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:03:36.208073 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:03:36.208440 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:03:36.208836 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:03:36.209202 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:03:36.209599 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:03:36.209965 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:03:36.210332 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:03:36.211980 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:03:36.212376 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:03:36.212773 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
18:03:36.213139 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:03:36.213505 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
18:03:36.213902 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:03:36.214268 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
18:07:36.203433 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:07:36.204043 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:07:36.204226 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:07:36.204806 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:07:36.204867 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:07:36.205417 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:07:36.205996 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:07:36.206057 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:07:36.206607 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:07:36.207187 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:07:36.207248 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:07:36.207797 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:07:36.208377 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:07:36.208438 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:07:36.208987 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:07:36.209567 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:07:36.209628 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:07:36.210177 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:07:36.210269 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:07:36.211886 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:07:36.211947 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:07:36.212008 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:07:36.213656 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:07:36.213717 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:07:36.214297 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
18:07:36.214358 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:07:36.214907 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
18:07:36.215487 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:07:36.215548 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
18:08:10.694802 STOP
