17:39:16.207156 START Mgen Version 5.02
17:39:16.218661 LISTEN proto>UDP port>5001
17:40:16.222208 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:40:16.222849 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:40:16.223246 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:40:16.223612 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:40:16.224009 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:40:16.224375 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:40:16.224772 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:40:16.225138 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:40:16.225535 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:40:16.225901 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:40:16.226267 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:40:16.226664 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:40:16.227030 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:40:16.227427 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:40:16.227793 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:40:16.228190 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:40:16.228556 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:40:16.228953 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:40:16.229319 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:40:16.229685 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:40:16.230082 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:40:16.230448 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:40:16.230997 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:40:16.231394 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:40:16.231791 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:40:16.232157 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:40:16.232554 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:40:16.232920 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:40:16.233317 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:44:16.223946 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:44:16.224038 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:44:16.224617 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:44:16.224678 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:44:16.225350 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:44:16.225411 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:44:16.226387 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:44:16.226448 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:44:16.226540 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:44:16.227120 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:44:16.227700 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:44:16.227761 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:44:16.228310 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:44:16.228890 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:44:16.228951 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:44:16.229500 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:44:16.230080 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:44:16.230141 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:44:16.230751 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:44:16.230934 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:44:16.231514 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:44:16.232094 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:44:16.232186 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:44:16.232765 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:44:16.233345 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:44:16.233406 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:44:16.233956 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:44:16.234535 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:44:16.235115 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:44:50.628097 STOP
