18:02:36.173477 START Mgen Version 5.02
18:02:36.184280 LISTEN proto>UDP port>5001
18:03:36.191112 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:03:36.191753 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:03:36.192119 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:03:36.192516 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:03:36.192882 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:03:36.193279 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:03:36.193645 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:03:36.194042 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:03:36.194408 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:03:36.194805 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:03:36.195201 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:03:36.195598 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:03:36.195995 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:03:36.196392 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:03:36.196788 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:03:36.197185 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:03:36.197551 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:03:36.197948 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:03:36.198314 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:03:36.198711 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:03:36.199077 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:03:36.199474 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:03:36.200023 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:03:36.200389 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
18:03:36.200786 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:03:36.201183 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:03:36.201549 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:03:36.201915 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
18:03:36.202312 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
18:07:36.192928 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:07:36.193020 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:07:36.193111 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:07:36.193691 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:07:36.194271 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:07:36.194362 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:07:36.194912 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:07:36.195492 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:07:36.195553 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:07:36.196102 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:07:36.196682 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:07:36.196773 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:07:36.197323 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:07:36.197902 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:07:36.197994 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:07:36.198543 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:07:36.199123 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:07:36.199184 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:07:36.199672 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:07:36.200252 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:07:36.200344 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:07:36.201076 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:07:36.201656 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:07:36.201748 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
18:07:36.202327 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:07:36.202877 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:07:36.202938 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:07:36.203518 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
18:07:36.204097 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
18:08:10.557815 STOP
