16:58:26.208293 START Mgen Version 5.02
16:58:26.218912 LISTEN proto>UDP port>5001
16:59:26.225022 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:59:26.225663 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:59:26.226059 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:59:26.226426 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:59:26.226822 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:59:26.227189 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:59:26.227585 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:59:26.227982 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:59:26.228379 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:59:26.228745 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:59:26.229142 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:59:26.229508 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:59:26.229905 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:59:26.230271 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:59:26.230668 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:59:26.231034 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:59:26.231430 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:59:26.231827 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:59:26.232193 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:03:26.226114 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:03:26.226724 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:03:26.227365 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:03:26.227426 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:03:26.228006 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:03:26.228158 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:03:26.228738 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:03:26.229318 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:03:26.229379 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:03:26.229928 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:03:26.230508 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:03:26.230569 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:03:26.231119 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:03:26.231698 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:03:26.231820 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:03:26.232400 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:03:26.232492 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:03:26.233072 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:03:26.233712 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:04:00.681642 STOP
