16:47:34.610160 START Mgen Version 5.02
16:47:34.615378 LISTEN proto>UDP port>5001
16:48:34.622220 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:48:34.622434 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:48:34.622556 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:48:34.622708 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:48:34.622830 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:48:34.622952 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:48:34.623075 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:48:34.623227 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:48:34.623349 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:48:34.623471 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:48:34.623715 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:48:34.623837 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:48:34.623990 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:48:34.624112 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:48:34.624234 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:48:34.624387 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:48:34.624509 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:48:34.624661 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:48:34.624784 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:48:34.624906 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:48:34.625058 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:48:34.625180 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:48:34.625302 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:48:34.625455 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:48:34.625577 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:48:34.625699 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:48:34.625852 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
16:48:34.625974 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
16:48:34.626096 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
16:48:34.626248 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
16:48:34.626370 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
16:48:34.626492 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
16:48:34.626645 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
16:48:34.626767 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
16:48:34.626920 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
16:48:34.627042 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
16:48:34.627164 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
16:48:34.627316 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
16:48:34.627438 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
16:52:20.704268 STOP
