17:56:46.162788 START Mgen Version 5.02
17:56:46.173530 LISTEN proto>UDP port>5001
17:57:46.182234 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:57:46.182906 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:57:46.183272 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:57:46.183669 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:57:46.184035 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:57:46.184401 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:57:46.184767 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:57:46.185164 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:57:46.185530 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:57:46.185896 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:57:46.186293 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:57:46.186659 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:57:46.187026 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:57:46.187422 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:57:46.187788 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:57:46.188185 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:57:46.188551 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:57:46.188918 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:57:46.189314 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:57:46.189681 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:57:46.190047 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:57:46.190443 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:57:46.190962 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:57:46.191359 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:57:46.191725 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:57:46.192122 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:57:46.192488 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:57:46.192854 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:57:46.193251 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:57:46.193617 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:57:46.194014 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:57:46.194380 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:57:46.194777 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:57:46.195143 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
17:57:46.195540 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
17:57:46.195906 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
17:57:46.196303 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
17:57:46.196699 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
17:57:46.197066 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
18:01:46.183453 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:01:46.183545 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:01:46.184125 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:01:46.184186 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:01:46.184887 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:01:46.184949 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:01:46.185498 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:01:46.186078 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:01:46.186139 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:01:46.186688 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:01:46.187604 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:01:46.187665 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:01:46.187726 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:01:46.188305 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:01:46.188397 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:01:46.188977 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:01:46.189557 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:01:46.189618 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:01:46.190167 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:01:46.190869 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:01:46.190930 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:01:46.191510 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:01:46.191601 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:01:46.192181 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:01:46.192761 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:01:46.192852 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
18:01:46.193432 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:01:46.194012 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
18:01:46.194073 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
18:01:46.194867 OFF flow>31 srcPort>5001 dst>10.1.1.31/5001 
18:01:46.194928 OFF flow>32 srcPort>5001 dst>10.1.1.32/5001 
18:01:46.195507 OFF flow>33 srcPort>5001 dst>10.1.1.33/5001 
18:01:46.195599 OFF flow>34 srcPort>5001 dst>10.1.1.34/5001 
18:01:46.196179 OFF flow>37 srcPort>5001 dst>10.1.1.37/5001 
