18:08:26.187407 START Mgen Version 5.02
18:08:26.195036 LISTEN proto>UDP port>5001
18:09:26.203526 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:09:26.204289 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:09:26.204685 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:09:26.205082 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:09:26.205448 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:09:26.205845 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:09:26.206211 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:09:26.206608 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:09:26.206974 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:09:26.207371 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:09:26.207737 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:09:26.208134 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:09:26.208500 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:09:26.208897 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:09:26.209263 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:09:26.209660 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:09:26.210026 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:09:26.210423 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:09:26.210789 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:13:26.205716 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:13:26.205808 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:13:26.205899 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:13:26.206998 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:13:26.207150 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:13:26.207212 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:13:26.207303 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:13:26.207852 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:13:26.208432 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:13:26.208524 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:13:26.209104 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:13:26.209683 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:13:26.209744 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:13:26.210294 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:13:26.210874 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:13:26.210996 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:13:26.211575 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:13:26.211667 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:13:26.212216 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:14:00.686574 STOP
