17:15:56.212685 START Mgen Version 5.02
17:15:56.223366 LISTEN proto>UDP port>5001
17:16:56.232193 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:16:56.232834 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:16:56.233231 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:16:56.233597 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:16:56.233994 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:16:56.234360 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:16:56.234726 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:16:56.235123 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:16:56.235519 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:16:56.235916 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:16:56.236282 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:16:56.236679 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:16:56.237045 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:16:56.237442 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:16:56.237839 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:16:56.238205 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:16:56.238602 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:16:56.238968 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:16:56.239334 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:16:56.239731 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:16:56.240097 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:16:56.240494 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:16:56.241043 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:16:56.241440 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:16:56.241806 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:16:56.242203 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:16:56.242569 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:16:56.242935 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:16:56.243332 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:20:56.233626 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:20:56.233717 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:20:56.234297 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:20:56.234358 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:20:56.234938 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:20:56.235518 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:20:56.235579 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:20:56.236128 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:20:56.236708 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:20:56.236769 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:20:56.237318 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:20:56.237898 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:20:56.237959 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:20:56.238508 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:20:56.239088 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:20:56.239149 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:20:56.239821 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:20:56.239912 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:20:56.240492 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:20:56.240583 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:20:56.241560 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:20:56.241621 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:20:56.242201 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:20:56.242781 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:20:56.242842 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:20:56.243391 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:20:56.243971 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:20:56.244032 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:20:56.244581 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:21:30.538810 STOP
