16:52:36.194294 START Mgen Version 5.02
16:52:36.205066 LISTEN proto>UDP port>5001
16:53:36.214020 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:53:36.214630 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:53:36.215027 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:53:36.215393 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:53:36.215759 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:53:36.216156 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:53:36.216552 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:53:36.216949 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:53:36.217315 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:53:36.217712 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:53:36.218078 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:53:36.218475 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:53:36.218841 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:53:36.219238 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:53:36.219604 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:53:36.220001 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:53:36.220367 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:53:36.220764 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:53:36.221130 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:53:36.221527 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
16:53:36.221954 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:53:36.222320 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
16:53:36.223877 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:53:36.224273 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:53:36.224640 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:53:36.225036 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
16:53:36.225402 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:53:36.225799 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:53:36.226196 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:57:36.215593 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:57:36.215684 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:57:36.216569 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:57:36.216630 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:57:36.216691 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:57:36.217271 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:57:36.217363 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:57:36.217943 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:57:36.218522 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:57:36.218614 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:57:36.219194 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:57:36.219774 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:57:36.219835 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:57:36.220384 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:57:36.220964 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:57:36.221025 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:57:36.221574 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:57:36.222551 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:57:36.222612 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:57:36.222795 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
16:57:36.223375 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:57:36.225053 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
16:57:36.225114 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:57:36.225694 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:57:36.225755 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:57:36.226304 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
16:57:36.226884 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:57:36.226945 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:57:36.227495 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:58:10.711447 STOP
