17:33:26.192116 START Mgen Version 5.02
17:33:26.203102 LISTEN proto>UDP port>5001
17:34:26.211063 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:34:26.211735 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:34:26.212101 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:34:26.212498 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:34:26.212864 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:34:26.213261 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:34:26.213627 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:34:26.213993 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:34:26.214390 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:34:26.214787 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:34:26.215153 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:34:26.215550 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:34:26.215946 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:34:26.216312 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:34:26.216709 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:34:26.217075 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:34:26.217472 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:34:26.217869 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:34:26.218235 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:34:26.218632 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:34:26.219028 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:34:26.219395 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:34:26.221104 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:34:26.221500 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:34:26.221897 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:34:26.222294 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:34:26.222660 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:34:26.223057 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:34:26.223423 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:34:26.223820 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:34:26.224186 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:34:26.224583 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:34:26.224949 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:34:26.225376 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
17:34:26.225742 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
17:34:26.226139 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
17:34:26.226505 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
17:34:26.226902 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
17:34:26.227268 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
17:38:26.213154 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:38:26.213246 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:38:26.213337 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:38:26.213581 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:38:26.214192 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:38:26.214253 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:38:26.214985 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:38:26.215046 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:38:26.215718 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:38:26.215809 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:38:26.216389 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:38:26.216969 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:38:26.217030 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:38:26.217579 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:38:26.218159 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:38:26.218220 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:38:26.218769 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:38:26.219349 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:38:26.219563 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:38:26.220966 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:38:26.221028 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:38:26.222431 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:38:26.222492 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:38:26.223072 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:38:26.223133 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:38:26.223866 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:38:26.223927 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:38:26.224476 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:38:26.225056 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:38:26.225788 OFF flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:38:26.225880 OFF flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:38:26.225941 OFF flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:38:26.226521 OFF flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:38:26.226612 OFF flow>35 srcPort>5001 dst>10.1.1.35/5001 
17:38:26.227192 OFF flow>36 srcPort>5001 dst>10.1.1.36/5001 
17:38:26.227772 OFF flow>37 srcPort>5001 dst>10.1.1.37/5001 
17:38:26.227833 OFF flow>40 srcPort>5001 dst>10.1.1.40/5001 
17:38:26.228382 OFF flow>38 srcPort>5001 dst>10.1.1.38/5001 
17:38:26.228962 OFF flow>39 srcPort>5001 dst>10.1.1.39/5001 
17:39:00.789342 STOP
