17:15:56.205839 START Mgen Version 5.02
17:15:56.216703 LISTEN proto>UDP port>5001
17:16:56.221338 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:16:56.221978 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:16:56.222375 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:16:56.222772 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:16:56.223138 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:16:56.223535 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:16:56.223901 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:16:56.224298 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:16:56.224694 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:16:56.225061 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:16:56.225457 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:16:56.225854 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:16:56.226220 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:16:56.226617 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:16:56.227014 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:16:56.227380 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:16:56.227777 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:16:56.228143 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:16:56.228540 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:16:56.228936 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:16:56.229303 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:16:56.230767 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:16:56.231164 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:16:56.231561 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:16:56.231927 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:16:56.232324 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:16:56.232690 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:16:56.233087 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:16:56.233483 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:20:56.223062 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:20:56.223184 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:20:56.223916 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:20:56.224038 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:20:56.224618 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:20:56.224710 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:20:56.225290 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:20:56.225870 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:20:56.225961 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:20:56.226510 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:20:56.226755 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:20:56.227334 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:20:56.227578 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:20:56.228158 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:20:56.228738 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:20:56.228799 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:20:56.229348 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:20:56.229837 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:20:56.229928 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:20:56.230508 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:20:56.232339 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:20:56.232400 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:20:56.232980 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:20:56.233041 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:20:56.233590 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:20:56.234170 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:20:56.234231 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:20:56.234781 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:20:56.235360 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:21:30.708919 STOP
