17:56:46.182313 START Mgen Version 5.02
17:56:46.194947 LISTEN proto>UDP port>5001
17:57:46.201078 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:57:46.201719 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:57:46.202085 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:57:46.202481 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:57:46.202848 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:57:46.203214 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:57:46.203611 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:57:46.203977 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:57:46.204374 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:57:46.204740 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:57:46.205136 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:57:46.205503 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:57:46.205869 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:57:46.206235 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:57:46.206632 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:57:46.207029 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:57:46.207395 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:57:46.207791 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:57:46.208158 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:57:46.208524 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:57:46.208921 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:57:46.209287 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:57:46.209836 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:57:46.210233 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:57:46.210599 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:57:46.210996 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:57:46.211362 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:57:46.211759 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:57:46.212125 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:57:46.212522 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:57:46.212888 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:57:46.213285 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:57:46.213681 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:57:46.214078 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
