16:52:36.193618 START Mgen Version 5.02
16:52:36.204482 LISTEN proto>UDP port>5001
16:53:36.212393 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:53:36.213064 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:53:36.213461 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:53:36.213858 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:53:36.214255 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:53:36.214621 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:53:36.215018 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:53:36.215414 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:53:36.215780 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:53:36.216147 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:53:36.216543 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:53:36.216910 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:53:36.217306 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:53:36.217673 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:53:36.218069 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:53:36.218435 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:53:36.218832 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:53:36.219198 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:53:36.219595 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:53:36.219992 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
16:53:36.220389 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:53:36.221853 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:53:36.222250 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:53:36.222616 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
16:53:36.223013 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:53:36.223379 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
16:53:36.223745 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:53:36.224142 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:53:36.224539 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:57:36.213978 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
16:57:36.214070 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
16:57:36.214649 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
16:57:36.214711 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
16:57:36.215290 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
16:57:36.215870 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
16:57:36.215931 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
16:57:36.216481 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
16:57:36.217060 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
16:57:36.217121 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
16:57:36.217671 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
16:57:36.217762 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
16:57:36.218342 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
16:57:36.218922 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
16:57:36.219013 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
16:57:36.219593 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
16:57:36.220173 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
16:57:36.220234 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
16:57:36.220844 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
16:57:36.220967 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
16:57:36.223011 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
16:57:36.223072 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
16:57:36.223652 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
16:57:36.223713 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
16:57:36.224293 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
16:57:36.224873 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
16:57:36.224934 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
16:57:36.225514 OFF flow>30 srcPort>5001 dst>10.1.1.30/5001 
16:57:36.225605 OFF flow>29 srcPort>5001 dst>10.1.1.29/5001 
16:58:10.673976 STOP
