17:10:06.171527 START Mgen Version 5.02
17:10:06.182818 LISTEN proto>UDP port>5001
17:11:06.190912 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:11:06.191553 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:11:06.191919 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:11:06.192316 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:11:06.192682 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:11:06.193049 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:11:06.193445 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:11:06.193812 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:11:06.194178 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:11:06.194544 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:11:06.194941 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:11:06.195337 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:11:06.195704 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:11:06.196100 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:11:06.196467 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:11:06.196863 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:11:06.197229 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:11:06.197626 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:11:06.197992 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:11:06.198359 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:11:06.198755 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:11:06.199121 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:11:06.199488 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:11:06.199884 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
17:11:06.200251 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:11:06.200769 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:11:06.201136 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:11:06.201532 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:11:06.201899 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:11:06.202295 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:11:06.202692 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:11:06.203058 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:11:06.203455 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
17:11:06.203852 ON flow>35 srcPort>5001 dst>10.1.1.35/5001 
17:11:06.204218 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
17:11:06.204615 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
17:11:06.205011 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
17:11:06.205378 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
17:11:06.205744 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
17:15:06.192162 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:15:06.192284 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
