17:33:26.170836 START Mgen Version 5.02
17:33:26.181853 LISTEN proto>UDP port>5001
17:34:26.183879 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
17:34:26.184489 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
17:34:26.184886 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
17:34:26.185252 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
17:34:26.185649 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
17:34:26.186015 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
17:34:26.186412 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
17:34:26.186778 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
17:34:26.187144 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
17:34:26.187511 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
17:34:26.187907 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
17:34:26.188273 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
17:34:26.188640 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
17:34:26.189036 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
17:34:26.189403 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
17:34:26.189799 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
17:34:26.190227 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
17:34:26.190593 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
17:34:26.190990 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
17:34:26.191356 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
17:34:26.191752 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
17:34:26.192119 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
17:34:26.192668 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
17:34:26.193065 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
17:34:26.193431 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
17:34:26.193828 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
17:34:26.194194 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
17:34:26.194591 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
17:34:26.194957 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
17:34:26.195323 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
17:34:26.195720 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
17:34:26.196086 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
17:34:26.196483 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
